,Unnamed: 0,LMPType,Facility ID,Temperature Req,Generator,Modules,Facility Demand,Profit,Annualized Capital Cost,Fixed Cost,Variable Cost,Fuel Cost,Start-Up Cost,Electric Wholesale Revenues,Industry,NGBE_Cost,Energy Breakeven Price [$/GJ]
486,3,ERCOT_2020_HubAVG.csv,1006274,291,Microreactor,1,3.506021675,-6715410.225,-5886288.708,-1771011,0,0,-3350,945239.483,Plastics Materials and Resins,50.21261614,60.73672129
492,4,ERCOT_2020_HubAVG.csv,1004714,260,PBR-HTGR,1,59.76276209,-37248683.05,-29455942.21,-8000000,0,-8442654.582,-40000,8689913.742,Plastics Materials and Resins,16.58148086,19.76394581
496,3,ERCOT_2020_HubAVG.csv,1004714,291,Microreactor,2,12.76183983,-13810072.5,-11772577.42,-3542022,0,0,-6700,1511226.915,Plastics Materials and Resins,28.36857803,34.31437256
501,3,ERCOT_2020_HubAVG.csv,1004621,260,Microreactor,2,22.9482142,-14488701.65,-11772577.42,-3542022,0,0,-6700,832597.7699,Plastics Materials and Resins,16.79668692,20.02045612
506,3,ERCOT_2020_HubAVG.csv,1004621,291,Microreactor,1,4.900399906,-6807310.91,-5886288.708,-1771011,0,0,-3350,853338.7986,Plastics Materials and Resins,36.41656362,44.04914233
511,3,ERCOT_2020_HubAVG.csv,1006453,260,Microreactor,5,51.29584529,-35806347.62,-29431443.54,-8855055,0,0,-16750,2496900.921,Plastics Materials and Resins,18.57038406,22.13457695
516,3,ERCOT_2020_HubAVG.csv,1006453,291,Microreactor,1,10.9538003,-7235082.311,-5886288.708,-1771011,0,0,-3350,425567.3971,Plastics Materials and Resins,17.31544095,20.94459902
521,3,ERCOT_2020_HubAVG.csv,1007574,260,Microreactor,1,9.372517676,-7102053.525,-5886288.708,-1771011,0,0,-3350,558596.1829,Plastics Materials and Resins,20.15908081,24.02819048
526,3,ERCOT_2020_HubAVG.csv,1007574,291,Microreactor,1,1.476287679,-6581634.511,-5886288.708,-1771011,0,0,-3350,1079015.197,Plastics Materials and Resins,116.8739346,141.3696424
531,3,ERCOT_2020_HubAVG.csv,1001710,260,Microreactor,5,49.13652951,-35714245.57,-29431443.54,-8855055,0,0,-16750,2589002.969,Plastics Materials and Resins,19.33659736,23.0478487
